,A_frozen_legacy_gross,A_frozen_legacy_legacy_cost,B_always_lp_gross,C_always_eth,D_always_usdc,E_buy_hold_5050
2026-04-29 00:00:00+00:00,9551.83268409463,9545.572998082447,10000.67916585375,10777.723318628992,10000.0,10388.861659314496
2026-04-30 00:00:00+00:00,9551.83268409463,9545.572998082447,10000.707317852857,10797.13971931712,10000.0,10398.56985965856
2026-05-01 00:00:00+00:00,9551.83268409463,9545.572998082447,10000.808428842472,10978.956809278097,10000.0,10489.478404639049
2026-05-02 00:00:00+00:00,9551.83268409463,9545.572998082447,10000.851330211777,11079.31624124185,10000.0,10539.658120620925
2026-05-03 00:00:00+00:00,9495.607112117243,9492.231906300181,10000.872351337219,11109.26931591966,10000.0,10554.63465795983
2026-05-04 00:00:00+00:00,9593.912353127847,9590.502204792905,10000.938745231037,11224.280329397627,10000.0,10612.140164698812
2026-05-05 00:00:00+00:00,9655.507205791968,9652.075163616793,10000.973066945007,11296.342473359642,10000.0,10648.17123667982
2026-05-06 00:00:00+00:00,9609.274130962012,9605.858522295644,10000.982814292267,11242.252653348698,10000.0,10621.126326674348
2026-05-07 00:00:00+00:00,9354.71917134876,9351.394266583131,10000.908887786463,10961.405400809941,10000.0,10480.70270040497
2026-05-08 00:00:00+00:00,9333.989193792779,9327.383058222247,10000.952499771327,11031.779834701289,10000.0,10515.889917350643
2026-05-09 00:00:00+00:00,9333.989193792779,9327.383058222247,10000.99221528195,11130.395935239625,10000.0,10565.197967619813
2026-05-10 00:00:00+00:00,9333.989193792779,9327.383058222247,10001.057581857736,11338.214261999177,10000.0,10669.10713099959
2026-05-11 00:00:00+00:00,9333.989193792779,9327.383058222247,10001.041935892032,11194.017159305125,10000.0,10597.008579652564
2026-05-12 00:00:00+00:00,9333.985068773276,9325.5128759351,10000.940553251856,10881.68247017917,10000.0,10440.841235089585
2026-05-13 00:00:00+00:00,9333.985068773276,9325.5128759351,10000.913952899577,10799.299255232381,10000.0,10399.64962761619
2026-05-14 00:00:00+00:00,9333.985068773276,9325.5128759351,10000.99148956602,10916.557881241091,10000.0,10458.278940620545
2026-05-15 00:00:00+00:00,9333.985068773276,9325.5128759351,10000.856459015264,10639.590466697384,10000.0,10319.795233348692
2026-05-16 00:00:00+00:00,9333.97930478786,9325.507116945748,10000.71223157605,10428.922888206464,10000.0,10214.461444103232
2026-05-17 00:00:00+00:00,9333.973199525666,9323.6352810348,10000.510493290132,10189.76874895095,10000.0,10094.884374475474
2026-05-18 00:00:00+00:00,9333.973199525666,9323.6352810348,10000.535814192861,10181.620601046105,10000.0,10090.810300523051
2026-05-19 00:00:00+00:00,9333.973199525666,9323.6352810348,10000.465746834765,10097.467077871283,10000.0,10048.733538935641
2026-05-20 00:00:00+00:00,9333.973199525666,9323.6352810348,10000.56525055368,10177.548970764152,10000.0,10088.774485382077
2026-05-21 00:00:00+00:00,9333.952410496413,9321.749114364238,10000.604786685104,10199.963104318824,10000.0,10099.981552159412
2026-05-22 00:00:00+00:00,9333.952410496413,9321.749114364238,10000.258016024523,9875.784176890547,10000.0,9937.892088445275
2026-05-23 00:00:00+00:00,9333.952410496413,9321.749114364238,10000.619369924652,10122.741061204148,10000.0,10061.370530602075
2026-05-24 00:00:00+00:00,9333.952410496413,9321.749114364238,10000.56977445895,10037.066677766083,10000.0,10018.53333888304
2026-05-25 00:00:00+00:00,9285.511951221077,9276.154744798818,10000.666141247146,10099.486672261526,10000.0,10049.743336130763
2026-05-26 00:00:00+00:00,9109.85036400287,9100.670175470492,10000.492989450282,9908.426462737454,10000.0,9954.213231368727
2026-05-27 00:00:00+00:00,8895.606254702268,8886.6419644818,10000.175994620547,9675.401559225544,10000.0,9837.700779612773
2026-05-28 00:00:00+00:00,8829.14208312356,8820.244770251935,10000.112063894361,9603.11109009812,10000.0,9801.555545049061
2026-05-29 00:00:00+00:00,8835.892440984604,8823.837596962647,10000.209960028662,9625.222558492018,10000.0,9812.611279246008
2026-05-30 00:00:00+00:00,8835.892440984604,8823.837596962647,10000.293867083432,9660.900060792266,10000.0,9830.450030396132
2026-05-31 00:00:00+00:00,8835.892440984604,8823.837596962647,10000.17505147834,9588.717940669107,10000.0,9794.358970334553
2026-06-01 00:00:00+00:00,8835.892440984604,8823.837596962647,10000.239143703371,9584.88341217289,10000.0,9792.441706086445
2026-06-02 00:00:00+00:00,8835.892440984604,8823.837596962647,9998.34957861315,8887.012955872775,10000.0,9443.506477936387
2026-06-03 00:00:00+00:00,8835.898253580857,8822.077985559754,9997.596511780908,8665.002897133367,10000.0,9332.501448566683
2026-06-04 00:00:00+00:00,8835.898253580857,8822.077985559754,9996.899333432528,8465.452101088888,10000.0,9232.726050544443
2026-06-05 00:00:00+00:00,8835.898253580857,8822.077985559754,9990.193304288348,7573.8307804634915,10000.0,8786.915390231745
2026-06-06 00:00:00+00:00,8835.898253580857,8822.077985559754,9989.677369071516,7505.2249803972845,10000.0,8752.612490198642
2026-06-07 00:00:00+00:00,8835.89142516259,8820.305884951493,9992.252330725829,8086.4976363845335,10000.0,9043.248818192267
2026-06-08 00:00:00+00:00,8835.89142516259,8820.305884951493,9992.572126389638,8084.880579419843,10000.0,9042.44028970992
2026-06-09 00:00:00+00:00,8835.89142516259,8820.305884951493,9992.750952176564,7835.755419523556,10000.0,8917.877709761779
2026-06-10 00:00:00+00:00,8835.89142516259,8820.305884951493,9993.037996793224,7752.363946005029,10000.0,8876.181973002514
2026-06-11 00:00:00+00:00,8835.876592293012,8820.291053683259,9994.015272097495,7998.03800518531,10000.0,8999.019002592655
2026-06-12 00:00:00+00:00,8789.135310948986,8776.26478162106,9994.224532150472,7964.518362039764,10000.0,8982.259181019883
2026-06-13 00:00:00+00:00,8868.590568413996,8855.603687342094,9994.342711934929,8036.518943968721,10000.0,9018.25947198436
2026-06-14 00:00:00+00:00,9107.648500552215,9094.311550671744,9994.45576928156,8253.147909475058,10000.0,9126.573954737529
2026-06-15 00:00:00+00:00,9476.476502282796,9462.599452444218,9994.555535379339,8587.371617301951,10000.0,9293.685808650975
2026-06-16 00:00:00+00:00,9429.44997056062,9417.196630901408,9994.578642300994,8566.787665223177,10000.0,9283.39383261159
2026-06-17 00:00:00+00:00,9206.76888824076,9194.80491720282,9994.572053546759,8364.478776024744,10000.0,9182.239388012371
2026-06-18 00:00:00+00:00,9002.839991511779,8991.141021088482,9994.529855805822,8179.206510671546,10000.0,9089.603255335773
2026-06-19 00:00:00+00:00,9004.640649538482,8992.939339204111,9994.545946258055,8180.842433765745,10000.0,9090.421216882873
2026-06-20 00:00:00+00:00,9090.932918724404,9078.20000446084,9994.610811680512,8321.098541719377,10000.0,9160.549270859688
2026-06-21 00:00:00+00:00,9004.66362347379,8992.088876119587,9994.556699473993,8157.153540628926,10000.0,9078.576770314463
2026-06-22 00:00:00+00:00,9060.39102268899,9047.71410421498,9994.621931818207,8263.057135860148,10000.0,9131.528567930074
2026-06-23 00:00:00+00:00,8904.135547353215,8891.745109086713,9994.49650703968,7966.111345357355,10000.0,8983.055672678678
2026-06-24 00:00:00+00:00,8791.2353187131,8779.051894565291,9994.383051385408,7749.263775508001,10000.0,8874.631887754
2026-06-25 00:00:00+00:00,8828.495882962177,8813.624922150395,9994.181050992373,7488.7324584785265,10000.0,8744.366229239264
2026-06-26 00:00:00+00:00,8828.495882962177,8813.624922150395,9994.384275703123,7545.106270831004,10000.0,8772.553135415503
2026-06-27 00:00:00+00:00,8828.495882962177,8813.624922150395,9994.389794954006,7520.249698845135,10000.0,8760.124849422567
2026-06-28 00:00:00+00:00,8828.495882962177,8813.624922150395,9994.428010010934,7511.9823853911685,10000.0,8755.991192695585
2026-06-29 00:00:00+00:00,8828.472456164207,8811.83796246026,9994.6678845605,7705.991337856001,10000.0,8852.995668928
2026-06-30 00:00:00+00:00,8828.472456164207,8811.83796246026,9994.577812287711,7511.2312622649415,10000.0,8755.61563113247
2026-07-01 00:00:00+00:00,8828.472456164207,8811.83796246026,9994.793956729203,7695.211036960387,10000.0,8847.605518480193
2026-07-02 00:00:00+00:00,8828.472456164207,8811.83796246026,9994.958025665737,8123.779343647539,10000.0,9061.88967182377
